! Probe	Frequency	Pt Number	X pos	Y pos	Gamma s11	Phi s11	Gamma s12	Phi s12	Gamma s21	Phi s21	Gamma s22	Phi s22	loss
1	3.50000	1	0	0	0.03138	 115.65	0.96605	 -70.57	0.97637	 -70.21	0.04133	 137.80	 0.20
1	3.50000	2	0	2438	0.03140	 115.56	0.96605	 -70.55	0.97667	 -70.23	0.04137	 137.97	 0.20
1	3.50000	3	250	2438	0.03116	 115.47	0.96608	 -70.51	0.97607	 -70.20	0.04142	 137.92	 0.21
1	3.50000	4	500	2438	0.03098	 115.33	0.96629	 -70.46	0.97631	 -70.31	0.04158	 138.17	 0.20
1	3.50000	5	750	2438	0.03106	 115.60	0.96683	 -70.51	0.97621	 -70.23	0.04128	 138.05	 0.20
1	3.50000	6	1000	2438	0.03127	 115.33	0.96672	 -70.55	0.97708	 -70.24	0.04141	 138.24	 0.20
1	3.50000	7	1250	2438	0.03125	 115.39	0.96550	 -70.52	0.97639	 -70.23	0.04123	 138.17	 0.20
1	3.50000	8	1500	2438	0.03126	 115.28	0.96584	 -70.56	0.97607	 -70.27	0.04137	 137.97	 0.21
1	3.50000	9	1750	2438	0.03113	 115.23	0.96578	 -70.45	0.97677	 -70.26	0.04140	 138.10	 0.20
1	3.50000	10	2000	2438	0.03125	 115.38	0.96582	 -70.49	0.97676	 -70.30	0.04144	 138.20	 0.20
1	3.50000	11	2250	2438	0.03121	 115.76	0.96635	 -70.51	0.97665	 -70.27	0.04136	 137.95	 0.20
1	3.50000	12	2500	2438	0.03131	 115.54	0.96576	 -70.57	0.97695	 -70.20	0.04136	 138.06	 0.20
1	3.50000	13	2750	2438	0.03122	 115.29	0.96612	 -70.54	0.97566	 -70.24	0.04159	 138.06	 0.21
1	3.50000	14	3000	2438	0.03152	 115.41	0.96622	 -70.56	0.97630	 -70.21	0.04150	 137.98	 0.20
1	3.50000	15	3250	2438	0.03134	 115.37	0.96575	 -70.51	0.97627	 -70.21	0.04156	 137.85	 0.20
1	3.50000	16	3500	2438	0.03136	 115.56	0.96611	 -70.56	0.97618	 -70.21	0.04158	 137.89	 0.21
1	3.50000	17	3750	2438	0.03133	 115.18	0.96551	 -70.50	0.97689	 -70.22	0.04146	 138.43	 0.20
1	3.50000	18	4000	2438	0.03116	 115.38	0.96694	 -70.50	0.97639	 -70.26	0.04156	 138.27	 0.20
1	3.50000	19	4250	2438	0.03109	 115.36	0.96580	 -70.56	0.97636	 -70.23	0.04146	 138.29	 0.20
1	3.50000	20	4500	2438	0.03122	 115.03	0.96631	 -70.55	0.97648	 -70.24	0.04140	 138.20	 0.20
1	3.50000	21	4750	2438	0.03120	 115.22	0.96595	 -70.50	0.97670	 -70.27	0.04142	 138.15	 0.20
1	3.50000	22	5000	2438	0.03122	 115.18	0.96497	 -70.52	0.97580	 -70.27	0.04149	 138.13	 0.21
1	3.50000	23	5250	2438	0.03113	 115.32	0.96597	 -70.49	0.97625	 -70.30	0.04139	 138.00	 0.20
1	3.50000	24	5500	2438	0.03132	 115.35	0.96578	 -70.53	0.97624	 -70.26	0.04152	 138.06	 0.20
1	3.50000	25	5750	2438	0.03126	 115.50	0.96569	 -70.54	0.97606	 -70.24	0.04144	 137.87	 0.21
1	3.50000	26	6000	2438	0.03103	 115.38	0.96612	 -70.54	0.97684	 -70.28	0.04150	 138.07	 0.20
1	3.50000	27	6250	2438	0.03139	 115.67	0.96570	 -70.59	0.97621	 -70.27	0.04157	 138.25	 0.20
1	3.50000	28	6500	2438	0.03116	 115.40	0.96616	 -70.55	0.97601	 -70.23	0.04137	 137.91	 0.21
1	3.50000	29	6750	2438	0.03138	 115.66	0.96598	 -70.52	0.97660	 -70.22	0.04126	 138.02	 0.20
