! Probe	Frequency	Pt Number	X pos	Y pos	Gamma s11	Phi s11	Gamma s12	Phi s12	Gamma s21	Phi s21	Gamma s22	Phi s22	loss
1	3	1	0	0	0.01196	-177.22	0.97824	-164.1	0.99176	-163.36	0.01289	-164.94	0.07
1	3	2	0	2438	0.0121	-176.38	0.97766	-164.08	0.99228	-163.36	0.01293	-164.83	0.07
1	3	3	250	2438	0.01203	-177.08	0.97784	-164.12	0.99157	-163.34	0.01301	-164.69	0.07
1	3	4	500	2438	0.01214	-176.77	0.97803	-164.04	0.99164	-163.36	0.01314	-165.13	0.07
1	3	5	750	2438	0.01193	-178.12	0.97756	-164.15	0.99151	-163.33	0.01306	-164.74	0.07
1	3	6	1000	2438	0.01194	-177.44	0.97779	-164.11	0.99169	-163.37	0.01304	-163.66	0.07
1	3	7	1250	2438	0.01221	-177.14	0.97811	-164.07	0.99276	-163.35	0.01284	-164.08	0.06
1	3	8	1500	2438	0.01211	-176.94	0.9779	-164.06	0.99199	-163.31	0.01281	-165.14	0.07
1	3	9	1750	2438	0.01217	-177.83	0.9789	-164.06	0.99115	-163.36	0.01304	-164.51	0.08
1	3	10	2000	2438	0.01191	-177.62	0.97872	-164	0.99208	-163.38	0.0127	-164.6	0.07
1	3	11	2250	2438	0.01199	-176.89	0.97856	-164.11	0.99206	-163.31	0.0128	-164.88	0.07
1	3	12	2500	2438	0.0119	-178.35	0.97832	-164.1	0.99245	-163.34	0.01275	-165.77	0.07
1	3	13	2750	2438	0.01183	-177.2	0.97851	-164.06	0.99209	-163.36	0.01278	-164.93	0.07
1	3	14	3000	2438	0.012	-177.79	0.97894	-164.16	0.99131	-163.37	0.01288	-164.55	0.08
1	3	15	3250	2438	0.01213	-177.19	0.97905	-164.07	0.99135	-163.36	0.01302	-165.31	0.07
1	3	16	3500	2438	0.01211	-176.74	0.97832	-164.07	0.99097	-163.34	0.01294	-165.04	0.08
1	3	17	3750	2438	0.01187	-177.27	0.97786	-164.1	0.99158	-163.39	0.01301	-164.03	0.07
1	3	18	4000	2438	0.0119	-176.98	0.97744	-164.13	0.99121	-163.32	0.01297	-164.87	0.08
1	3	19	4250	2438	0.01207	-177.52	0.97947	-164.06	0.9912	-163.31	0.01299	-164.53	0.08
1	3	20	4500	2438	0.01207	-177.14	0.97808	-164.11	0.99207	-163.34	0.01293	-164.66	0.07
1	3	21	4750	2438	0.0122	-176.9	0.97868	-164.09	0.99266	-163.35	0.01285	-165.48	0.06
1	3	22	5000	2438	0.01212	-177.62	0.9778	-164.08	0.99187	-163.41	0.01302	-164.4	0.07
1	3	23	5250	2438	0.01194	-177.38	0.97721	-164.08	0.99158	-163.32	0.01289	-164.46	0.07
1	3	24	5500	2438	0.01195	-177.53	0.97834	-164.11	0.99273	-163.31	0.01276	-165.01	0.06
1	3	25	5750	2438	0.01179	-177.42	0.97835	-164.08	0.99155	-163.39	0.01289	-164.3	0.07
1	3	26	6000	2438	0.01203	-177.47	0.97781	-164.08	0.99163	-163.39	0.01283	-163.75	0.07
1	3	27	6250	2438	0.01199	-177.98	0.97733	-164.09	0.99109	-163.37	0.01298	-164.55	0.08
1	3	28	6500	2438	0.01189	-178.01	0.97775	-164.16	0.99188	-163.34	0.01279	-164.32	0.07
1	3	29	6750	2438	0.01184	-177.88	0.97796	-164.09	0.99199	-163.33	0.01293	-165.8	0.07
1	3	30	7000	2438	0.01178	-177.86	0.97775	-164.17	0.99187	-163.27	0.01284	-165.81	0.07
1	3	31	7250	2438	0.01193	-176.27	0.97772	-164.1	0.99296	-163.3	0.01274	-164.97	0.06
1	3	32	7500	2438	0.01204	-177.37	0.97821	-164.1	0.99178	-163.33	0.01296	-165.33	0.07
1	3	33	7750	2438	0.01188	-177.3	0.97829	-164.07	0.99237	-163.35	0.01276	-164.76	0.07
1	3	34	8000	2438	0.01207	-176.82	0.97816	-164.04	0.99161	-163.39	0.01296	-165.03	0.07
1	3	35	8250	2438	0.01204	-176.41	0.97797	-164.09	0.99235	-163.35	0.0129	-165.17	0.07
1	3	36	8500	2438	0.01211	-177.42	0.97843	-164.08	0.99245	-163.37	0.01283	-165.05	0.07
1	3	37	8750	2438	0.01207	-177.51	0.97892	-164.12	0.99225	-163.27	0.0128	-165.91	0.07
1	3	38	9000	2438	0.01214	-177.04	0.9777	-164.1	0.99248	-163.32	0.01273	-164.89	0.06
1	3	39	9250	2438	0.01207	-177.64	0.97871	-164.05	0.99255	-163.35	0.01274	-164.14	0.06
1	3	40	9500	2438	0.01229	-177.48	0.97824	-164.11	0.99199	-163.36	0.01291	-164.4	0.07
1	3	41	9750	2438	0.01207	-177.94	0.97842	-164.11	0.99242	-163.34	0.01278	-164.65	0.07
1	3	42	10000	2438	0.01181	-177.37	0.97807	-164.09	0.992	-163.31	0.01284	-165.33	0.07
1	3	43	10250	2438	0.01192	-177.66	0.97789	-164.08	0.99255	-163.31	0.01286	-165.47	0.06
1	3	44	10500	2438	0.012	-177.25	0.9782	-164.03	0.99242	-163.32	0.01289	-165.46	0.07
1	3	45	10750	2438	0.01205	-178.16	0.97858	-164.06	0.99211	-163.36	0.01294	-165.72	0.07
1	3	46	11000	2438	0.01196	-177.17	0.9782	-164.06	0.99269	-163.36	0.01265	-165.17	0.06
1	3	47	11250	2438	0.01187	-176.68	0.97778	-164.07	0.99189	-163.35	0.01294	-165.87	0.07
1	3	48	11500	2438	0.01209	-176.9	0.97918	-164.07	0.99164	-163.38	0.01289	-164.74	0.07
1	3	49	11750	2438	0.01196	-177.41	0.97802	-164.09	0.99232	-163.32	0.01285	-165.93	0.07
1	3	50	12000	2438	0.01203	-177.67	0.97793	-164.1	0.99248	-163.32	0.01293	-165.72	0.06
1	3	51	12250	2438	0.01214	-176.36	0.97895	-164.09	0.99275	-163.33	0.01283	-164.5	0.06
1	3	52	12500	2438	0.01177	-176.39	0.97736	-164.05	0.9928	-163.36	0.01291	-165.09	0.06
1	3	53	12750	2438	0.01195	-177.27	0.97872	-164.09	0.99172	-163.33	0.01273	-164.36	0.07
1	3	54	13000	2438	0.01224	-178.01	0.97891	-164.08	0.99185	-163.37	0.01286	-164.19	0.07
1	3	55	13250	2438	0.01207	-177.62	0.9786	-164.11	0.99328	-163.33	0.01255	-164.81	0.06
1	3	56	13500	2438	0.01192	-177.45	0.97825	-164.12	0.99211	-163.34	0.0127	-163.98	0.07
1	3	57	13750	2438	0.01192	-177.39	0.9783	-164.04	0.99173	-163.34	0.01306	-164.89	0.07
1	3	58	14000	2438	0.01177	-176.89	0.97758	-164.06	0.9912	-163.38	0.01295	-164.83	0.08
1	3	59	14250	2438	0.01186	-177.51	0.97889	-164.04	0.9921	-163.41	0.01269	-164.48	0.07
1	3	60	14500	2438	0.01178	-177.45	0.9778	-164.06	0.99176	-163.4	0.01271	-165.12	0.07
1	3	61	14750	2438	0.01188	-176.69	0.97745	-164.07	0.99222	-163.33	0.01267	-165.35	0.07
1	3	62	0	4877	0.01225	-160.77	0.97829	-164.12	0.99177	-163.44	0.01536	-174.61	0.07
1	3	63	250	4877	0.01398	-163.71	0.97787	-164.09	0.99207	-163.36	0.01604	-170.7	0.07
1	3	64	500	4877	0.01452	-168.6	0.97794	-164.13	0.99311	-163.42	0.01625	-165.84	0.06
1	3	65	750	4877	0.01497	-173.57	0.97683	-164.14	0.9922	-163.39	0.01624	-161.12	0.07
1	3	66	1000	4877	0.01552	-178.16	0.97695	-164.1	0.99274	-163.34	0.01566	-157.37	0.06
1	3	67	1250	4877	0.01514	176.89	0.97821	-164.07	0.99248	-163.39	0.01473	-152.1	0.06
1	3	68	1500	4877	0.01438	172.34	0.97799	-164.04	0.99306	-163.32	0.01332	-149.89	0.06
1	3	69	1750	4877	0.01347	168.16	0.97827	-164.09	0.99225	-163.3	0.01207	-149.59	0.07
1	3	70	2000	4877	0.01218	165.89	0.97851	-164.06	0.99254	-163.32	0.01073	-151.31	0.06
1	3	71	2250	4877	0.01085	165.92	0.97894	-164.09	0.99109	-163.34	0.00958	-157.01	0.08
1	3	72	2500	4877	0.00945	169.49	0.9796	-164.09	0.99094	-163.3	0.00931	-164.94	0.08
1	3	73	2750	4877	0.00862	176.53	0.97812	-164.12	0.99105	-163.36	0.00985	-172.71	0.08
1	3	74	3000	4877	0.00848	-175.36	0.979	-164.1	0.99082	-163.35	0.01052	-178.05	0.08
1	3	75	3250	4877	0.00918	-167.22	0.97871	-164.14	0.992	-163.35	0.01175	178.46	0.07
1	3	76	3500	4877	0.01029	-162.76	0.97919	-164.14	0.99113	-163.4	0.01323	179.8	0.08
1	3	77	3750	4877	0.01159	-160.47	0.97829	-164.17	0.99145	-163.44	0.01469	-177.26	0.07
1	3	78	4000	4877	0.01281	-162.14	0.97731	-164.2	0.99186	-163.35	0.01546	-174.05	0.07
1	3	79	4250	4877	0.01395	-165.24	0.97703	-164.16	0.99277	-163.41	0.01613	-169.54	0.06
1	3	80	4500	4877	0.01476	-169.04	0.97752	-164.12	0.99258	-163.37	0.01634	-164.97	0.06
1	3	81	4750	4877	0.01533	-173.66	0.97755	-164.05	0.99241	-163.43	0.01614	-160.51	0.07
1	3	82	5000	4877	0.01544	-179.62	0.97796	-164.12	0.99285	-163.3	0.01541	-155.1	0.06
1	3	83	5250	4877	0.01493	176.11	0.97747	-164.03	0.99219	-163.4	0.01437	-151.33	0.07
1	3	84	5500	4877	0.01418	171.57	0.9777	-164.07	0.99252	-163.34	0.01308	-148.59	0.06
1	3	85	5750	4877	0.01303	167.98	0.97803	-164.02	0.99252	-163.32	0.01152	-149.41	0.06
1	3	86	6000	4877	0.01175	167.32	0.97829	-163.99	0.99221	-163.33	0.01054	-152.79	0.07
1	3	87	6250	4877	0.01064	167.28	0.97898	-164.03	0.99175	-163.33	0.00927	-159.68	0.07
1	3	88	6500	4877	0.0093	171.1	0.97859	-164.1	0.9905	-163.39	0.00931	-166.25	0.08
1	3	89	6750	4877	0.00867	178.47	0.97888	-164.08	0.99078	-163.38	0.00997	-175.19	0.08
1	3	90	7000	4877	0.00879	-172.4	0.97848	-164.15	0.99089	-163.34	0.011	-179.2	0.08
1	3	91	7250	4877	0.00926	-166.64	0.97915	-164.14	0.99081	-163.4	0.01233	179.3	0.08
1	3	92	7500	4877	0.01078	-160.3	0.97799	-164.13	0.99166	-163.4	0.01355	-179.61	0.07
1	3	93	7750	4877	0.01173	-161.61	0.9776	-164.18	0.99173	-163.41	0.01498	-176.19	0.07
1	3	94	8000	4877	0.01313	-162.8	0.97749	-164.14	0.99207	-163.39	0.01593	-172.99	0.07
1	3	95	8250	4877	0.01414	-166.76	0.97792	-164.15	0.99249	-163.4	0.01626	-167.58	0.06
1	3	96	8500	4877	0.01489	-171.74	0.9774	-164.12	0.99251	-163.47	0.01629	-162.2	0.06
1	3	97	8750	4877	0.01534	-176.3	0.97744	-164.03	0.9924	-163.42	0.01603	-157.68	0.07
1	3	98	9000	4877	0.01524	178.49	0.97777	-164.08	0.99262	-163.31	0.01498	-154.72	0.06
1	3	99	9250	4877	0.01485	174.55	0.97838	-164.06	0.99241	-163.4	0.01393	-150.88	0.07
1	3	100	9500	4877	0.01384	170.38	0.97762	-164.01	0.99224	-163.36	0.01295	-148.98	0.07
1	3	101	9750	4877	0.0127	167.18	0.9783	-164.08	0.99223	-163.33	0.01135	-150.08	0.07
1	3	102	10000	4877	0.01146	165.88	0.97929	-164.11	0.99103	-163.28	0.0102	-153.98	0.08
1	3	103	10250	4877	0.01028	167.9	0.97902	-164.12	0.99232	-163.32	0.00945	-161.13	0.07
1	3	104	10500	4877	0.00899	172.56	0.97924	-164.08	0.99168	-163.34	0.0094	-169.93	0.07
1	3	105	10750	4877	0.00849	-178.4	0.97842	-164.08	0.99187	-163.35	0.01014	-177.09	0.07
1	3	106	11000	4877	0.00892	-170.08	0.97907	-164.1	0.99125	-163.39	0.01137	-179.51	0.08
1	3	107	11250	4877	0.00978	-163.45	0.97835	-164.14	0.99099	-163.38	0.01286	179.55	0.08
1	3	108	11500	4877	0.01108	-161.17	0.97781	-164.17	0.99148	-163.35	0.01427	-178.77	0.07
1	3	109	11750	4877	0.01202	-161.24	0.97712	-164.15	0.99187	-163.4	0.0152	-175.24	0.07
1	3	110	12000	4877	0.01336	-163.45	0.97715	-164.18	0.99289	-163.44	0.01597	-171.02	0.06
1	3	111	12250	4877	0.01447	-167.67	0.97706	-164.07	0.99254	-163.41	0.01626	-166.79	0.06
1	3	112	12500	4877	0.01503	-171.32	0.97691	-164.09	0.99281	-163.4	0.01626	-161.67	0.06
1	3	113	12750	4877	0.01538	-177.66	0.97701	-164.11	0.99211	-163.35	0.01584	-157.29	0.07
1	3	114	13000	4877	0.01553	177.75	0.97855	-164.03	0.99227	-163.39	0.01496	-152.33	0.07
1	3	115	13250	4877	0.01454	172.34	0.97803	-164.07	0.99255	-163.38	0.01358	-149.86	0.06
1	3	116	13500	4877	0.01377	169.55	0.9784	-164.01	0.99262	-163.33	0.01208	-148.85	0.06
1	3	117	13750	4877	0.0122	167.37	0.97793	-164.01	0.99087	-163.35	0.01108	-150.96	0.08
1	3	118	14000	4877	0.01103	166.98	0.97851	-164.04	0.99217	-163.3	0.00976	-156.04	0.07
1	3	119	14250	4877	0.00978	169.31	0.97889	-164.07	0.99118	-163.39	0.00922	-162.84	0.08
1	3	120	14500	4877	0.00892	174.26	0.97913	-164.11	0.99172	-163.32	0.00972	-172.35	0.07
1	3	121	14750	4877	0.00865	-176.59	0.97855	-164.1	0.99069	-163.37	0.01077	-177.44	0.08
1	3	122	0	7316	0.20008	-91.91	0.93931	-167.17	0.96594	-166.15	0.21346	147.29	0.12
1	3	123	250	7316	0.20475	-114.45	0.92504	-166.69	0.98167	-166	0.21736	169.05	-0.03
1	3	124	500	7316	0.2086	-136.55	0.91391	-165.78	0.9964	-165.53	0.21858	-169.44	-0.16
1	3	125	750	7316	0.21114	-158.37	0.91097	-164.65	1.0062	-164.81	0.21867	-147.84	-0.25
1	3	126	1000	7316	0.21165	-179.84	0.91409	-163.52	1.0101	-163.82	0.21652	-126.29	-0.29
1	3	127	1250	7316	0.2104	158.5	0.92503	-162.47	1.00718	-162.94	0.21313	-104.21	-0.26
1	3	128	1500	7316	0.20741	136.79	0.93979	-161.8	0.99934	-162.11	0.2078	-81.74	-0.19
1	3	129	1750	7316	0.20331	114.62	0.95724	-161.51	0.9862	-161.51	0.20248	-58.77	-0.06
1	3	130	2000	7316	0.1982	92.01	0.97582	-161.74	0.97018	-161.27	0.19807	-35.13	0.09
1	3	131	2250	7316	0.19387	68.66	0.99075	-162.38	0.95492	-161.44	0.19468	-10.97	0.23
1	3	132	2500	7316	0.1902	44.88	1.00113	-163.23	0.9416	-162	0.19339	13.54	0.36
1	3	133	2750	7316	0.18835	20.66	1.00401	-164.41	0.93373	-162.79	0.19424	37.81	0.44
1	3	134	3000	7316	0.18812	-3.6	0.99865	-165.58	0.93094	-163.73	0.19713	61.85	0.47
1	3	135	3250	7316	0.18969	-27.8	0.98678	-166.47	0.93334	-164.73	0.201	85.49	0.44
1	3	136	3500	7316	0.19283	-51.65	0.96966	-167.14	0.94267	-165.57	0.20555	108.51	0.35
1	3	137	3750	7316	0.19694	-75	0.95193	-167.26	0.95562	-166.01	0.21055	131.13	0.22
1	3	138	4000	7316	0.20089	-97.88	0.93443	-167.06	0.97093	-166.19	0.21465	153.16	0.08
1	3	139	4250	7316	0.20466	-120.33	0.92097	-166.47	0.98623	-165.89	0.21719	174.85	-0.07
1	3	140	4500	7316	0.20757	-142.38	0.91304	-165.47	0.99881	-165.35	0.21832	-163.65	-0.18
1	3	141	4750	7316	0.209	-164.1	0.91095	-164.3	1.00708	-164.58	0.21732	-142.04	-0.26
1	3	142	5000	7316	0.20888	174.38	0.9165	-163.18	1.01002	-163.55	0.21394	-120.25	-0.28
1	3	143	5250	7316	0.20658	152.63	0.92852	-162.29	1.00595	-162.63	0.20936	-98.05	-0.24
1	3	144	5500	7316	0.20319	130.77	0.94509	-161.67	0.99677	-161.87	0.20362	-75.28	-0.15
1	3	145	5750	7316	0.19849	108.29	0.96351	-161.57	0.98288	-161.31	0.19783	-51.91	-0.02
1	3	146	6000	7316	0.19341	85.33	0.9818	-161.8	0.96708	-161.17	0.19328	-27.7	0.13
1	3	147	6250	7316	0.18852	61.9	0.99573	-162.4	0.95142	-161.44	0.191	-3.17	0.28
1	3	148	6500	7316	0.18462	37.77	1.00124	-163.43	0.93848	-162.05	0.19165	21.2	0.4
1	3	149	6750	7316	0.18356	13.11	1.00229	-164.61	0.93197	-162.94	0.194	45.66	0.46
1	3	150	7000	7316	0.18491	-11.26	0.99562	-165.69	0.93051	-163.92	0.19715	69.74	0.47
1	3	151	7250	7316	0.18786	-35.35	0.98261	-166.54	0.93648	-164.83	0.20167	93.14	0.41
1	3	152	7500	7316	0.19162	-58.96	0.96456	-167.07	0.9469	-165.55	0.20642	115.94	0.31
1	3	153	7750	7316	0.19578	-82.26	0.94725	-167.2	0.96063	-166.02	0.21112	138.28	0.18
1	3	154	8000	7316	0.19976	-105.2	0.93049	-166.86	0.97595	-166.15	0.21484	160.21	0.03
1	3	155	8250	7316	0.20354	-127.6	0.91786	-166.27	0.99062	-165.85	0.21674	-178.25	-0.1
1	3	156	8500	7316	0.20626	-149.48	0.91201	-165.18	1.00206	-165.3	0.21737	-156.75	-0.21
1	3	157	8750	7316	0.20756	-171.18	0.91254	-164.11	1.00915	-164.42	0.21582	-135.16	-0.27
1	3	158	9000	7316	0.20733	167.06	0.9213	-163.12	1.0091	-163.5	0.213	-113.29	-0.27
1	3	159	9250	7316	0.20493	145.5	0.93356	-162.27	1.0034	-162.61	0.20779	-91.18	-0.22
1	3	160	9500	7316	0.20141	123.7	0.95082	-161.82	0.99326	-161.85	0.20257	-68.34	-0.12
1	3	161	9750	7316	0.19642	101.2	0.96855	-161.74	0.97747	-161.39	0.1971	-44.78	0.03
1	3	162	10000	7316	0.19201	78.24	0.98637	-162.13	0.9622	-161.4	0.1937	-20.81	0.17
1	3	163	10250	7316	0.18753	54.64	0.99847	-162.83	0.94781	-161.71	0.19131	3.66	0.31
1	3	164	10500	7316	0.18469	30.68	1.00317	-163.87	0.93794	-162.29	0.19138	28.09	0.41
1	3	165	10750	7316	0.18386	6.23	1.00158	-164.93	0.93196	-163.18	0.19366	52.47	0.46
1	3	166	11000	7316	0.18526	-18.09	0.99226	-165.92	0.93317	-164.15	0.19739	76.46	0.45
1	3	167	11250	7316	0.1877	-42.06	0.9769	-166.75	0.93883	-165.02	0.20227	99.8	0.39
1	3	168	11500	7316	0.1918	-65.72	0.96032	-167.15	0.9512	-165.64	0.20769	122.44	0.27
1	3	169	11750	7316	0.19676	-88.91	0.94094	-167.16	0.96561	-166.01	0.2125	144.65	0.13
1	3	170	12000	7316	0.2007	-111.72	0.92581	-166.76	0.98003	-166.06	0.21586	166.51	0
1	3	171	12250	7316	0.20416	-134.02	0.9155	-165.98	0.9936	-165.73	0.21818	-171.94	-0.13
1	3	172	12500	7316	0.20676	-155.8	0.91153	-164.92	1.00438	-165.06	0.2182	-150.59	-0.23
1	3	173	12750	7316	0.20759	-177.52	0.91431	-163.86	1.00864	-164.15	0.21637	-128.96	-0.27
1	3	174	13000	7316	0.20681	160.93	0.92341	-162.83	1.00789	-163.18	0.21252	-106.99	-0.26
1	3	175	13250	7316	0.20436	139.12	0.93865	-162.13	1.00105	-162.31	0.20756	-84.57	-0.19
1	3	176	13500	7316	0.20068	117.17	0.95603	-161.75	0.98955	-161.64	0.20232	-61.56	-0.09
1	3	177	13750	7316	0.19539	94.51	0.97386	-161.79	0.97211	-161.35	0.19729	-37.85	0.08
1	3	178	14000	7316	0.19114	71.3	0.99039	-162.2	0.95771	-161.42	0.19426	-13.45	0.21
1	3	179	14250	7316	0.18737	47.53	1.0001	-163.16	0.94387	-161.79	0.19249	10.91	0.35
1	3	180	14500	7316	0.18547	23.5	1.00436	-164.21	0.93524	-162.54	0.19364	35.21	0.43
1	3	181	14750	7316	0.18494	-0.8	1.00014	-165.29	0.93131	-163.54	0.19615	59.42	0.47
1	3	182	0	7470	0.25607	-91.11	0.92132	-167.81	0.95203	-166.78	0.27017	146.82	0.13
1	3	183	250	7470	0.25983	-113.74	0.90135	-167.22	0.97115	-166.59	0.27338	168.81	-0.05
1	3	184	500	7470	0.26351	-136.04	0.89008	-166.01	0.98769	-166.02	0.27591	-169.38	-0.2
1	3	185	750	7470	0.26596	-157.96	0.88496	-164.56	1.00032	-165	0.27576	-147.63	-0.32
1	3	186	1000	7470	0.26667	-179.84	0.88916	-163.16	1.00624	-163.81	0.27403	-125.77	-0.37
1	3	187	1250	7470	0.26561	158.35	0.90225	-161.9	1.00364	-162.55	0.26977	-103.6	-0.35
1	3	188	1500	7470	0.26244	136.34	0.92077	-160.98	0.99251	-161.49	0.2645	-80.99	-0.24
1	3	189	1750	7470	0.25843	114.08	0.94342	-160.68	0.97674	-160.71	0.25946	-57.97	-0.1
1	3	190	2000	7470	0.25366	91.27	0.96799	-160.91	0.95747	-160.46	0.25551	-34.39	0.09
1	3	191	2250	7470	0.24917	68.01	0.98682	-161.68	0.93725	-160.73	0.25206	-10.5	0.28
1	3	192	2500	7470	0.24537	44.42	0.99952	-162.94	0.92042	-161.4	0.25073	13.51	0.45
1	3	193	2750	7470	0.2438	20.5	1.0022	-164.36	0.91006	-162.43	0.25121	37.59	0.55
1	3	194	3000	7470	0.24392	-3.59	0.99636	-165.83	0.90758	-163.69	0.25393	61.35	0.58
1	3	195	3250	7470	0.24554	-27.34	0.98133	-167	0.91191	-164.92	0.2578	84.74	0.53
1	3	196	3500	7470	0.24809	-50.97	0.96029	-167.82	0.92112	-165.89	0.26242	107.83	0.44
1	3	197	3750	7470	0.25208	-74.22	0.93636	-168.08	0.93752	-166.56	0.26704	130.46	0.28
1	3	198	4000	7470	0.25598	-97.14	0.91595	-167.7	0.95622	-166.72	0.27175	152.78	0.09
1	3	199	4250	7470	0.2599	-119.66	0.89848	-166.9	0.97648	-166.43	0.27416	174.73	-0.1
1	3	200	4500	7470	0.26231	-141.88	0.88815	-165.68	0.99223	-165.71	0.27529	-163.49	-0.24
1	3	201	4750	7470	0.26406	-163.86	0.88582	-164.27	1.00355	-164.7	0.27394	-141.73	-0.34
1	3	202	5000	7470	0.26348	174.26	0.89264	-162.82	1.00578	-163.45	0.27083	-119.72	-0.36
1	3	203	5250	7470	0.26107	152.35	0.90781	-161.55	1.00217	-162.3	0.26612	-97.24	-0.33
1	3	204	5500	7470	0.25713	130.21	0.92827	-160.91	0.98911	-161.2	0.26028	-74.5	-0.2
1	3	205	5750	7470	0.25269	107.64	0.95189	-160.63	0.97203	-160.57	0.25434	-51.07	-0.04
1	3	206	6000	7470	0.24772	84.59	0.97514	-160.93	0.9519	-160.43	0.25013	-27.06	0.15
1	3	207	6250	7470	0.24324	61.18	0.99232	-161.76	0.93332	-160.74	0.24727	-2.82	0.33
1	3	208	6500	7470	0.23873	37.39	1.00046	-163.11	0.91689	-161.51	0.24869	21.29	0.5
1	3	209	6750	7470	0.23803	13	1.00026	-164.57	0.90825	-162.62	0.25069	45.53	0.58
1	3	210	7000	7470	0.24013	-10.97	0.99108	-165.98	0.90776	-163.85	0.25377	69.28	0.58
1	3	211	7250	7470	0.24323	-34.77	0.97476	-167.09	0.91456	-165.04	0.25812	92.52	0.51
1	3	212	7500	7470	0.24687	-58.2	0.95348	-167.68	0.92796	-166.04	0.26304	115.32	0.38
1	3	213	7750	7470	0.2507	-81.56	0.93057	-167.89	0.94416	-166.59	0.26746	137.8	0.22
1	3	214	8000	7470	0.2548	-104.46	0.91026	-167.48	0.96353	-166.72	0.27161	159.88	0.03
1	3	215	8250	7470	0.2583	-127.01	0.89556	-166.65	0.98222	-166.35	0.27404	-178.32	-0.14
1	3	216	8500	7470	0.26063	-149.09	0.88749	-165.33	0.99567	-165.6	0.27457	-156.67	-0.27
1	3	217	8750	7470	0.2623	-171.16	0.88852	-163.9	1.00502	-164.6	0.2733	-134.71	-0.35
1	3	218	9000	7470	0.26169	166.97	0.89776	-162.63	1.00577	-163.33	0.26973	-112.7	-0.36
1	3	219	9250	7470	0.25924	145.02	0.91367	-161.57	0.99903	-162.24	0.2647	-90.33	-0.29
1	3	220	9500	7470	0.25554	123.05	0.93549	-160.95	0.98441	-161.25	0.2592	-67.49	-0.16
1	3	221	9750	7470	0.25078	100.51	0.9588	-160.88	0.9658	-160.71	0.25426	-44.06	0.02
1	3	222	10000	7470	0.24591	77.54	0.9799	-161.36	0.9451	-160.62	0.25004	-20.14	0.22
1	3	223	10250	7470	0.24162	54.04	0.99508	-162.29	0.92787	-161.05	0.24776	4.07	0.39
1	3	224	10500	7470	0.23909	30.39	1.00325	-163.53	0.91491	-161.87	0.24821	28.14	0.52
1	3	225	10750	7470	0.23887	6.34	1.0001	-165	0.90878	-162.99	0.25026	52.14	0.58
1	3	226	11000	7470	0.23998	-17.66	0.98828	-166.25	0.9095	-164.23	0.25423	75.93	0.57
1	3	227	11250	7470	0.2428	-41.52	0.96885	-167.29	0.9177	-165.32	0.25902	99.14	0.48
1	3	228	11500	7470	0.24635	-64.88	0.94715	-167.84	0.93103	-166.13	0.26426	121.84	0.35
1	3	229	11750	7470	0.25107	-88.19	0.92446	-167.84	0.95044	-166.66	0.26924	144.17	0.16
1	3	230	12000	7470	0.25553	-111.06	0.90567	-167.33	0.96942	-166.69	0.27328	166.2	-0.02
1	3	231	12250	7470	0.25868	-133.37	0.89126	-166.26	0.98579	-166.23	0.27537	-171.99	-0.18
1	3	232	12500	7470	0.26126	-155.49	0.88748	-165.01	0.99957	-165.38	0.27587	-150.38	-0.3
1	3	233	12750	7470	0.26234	-177.45	0.88957	-163.59	1.00672	-164.22	0.27351	-128.49	-0.37
1	3	234	13000	7470	0.26127	160.72	0.90116	-162.2	1.00437	-162.9	0.26992	-106.14	-0.34
1	3	235	13250	7470	0.25893	138.71	0.92047	-161.33	0.99534	-161.82	0.26493	-83.7	-0.26
1	3	236	13500	7470	0.25471	116.61	0.94222	-160.89	0.97904	-160.93	0.2595	-60.74	-0.11
1	3	237	13750	7470	0.24993	93.87	0.96534	-160.95	0.95971	-160.52	0.25448	-37.01	0.08
1	3	238	14000	7470	0.24533	70.64	0.98578	-161.6	0.93944	-160.64	0.25129	-12.97	0.27
1	3	239	14250	7470	0.24181	47.03	0.99798	-162.65	0.92266	-161.19	0.24977	11.22	0.44
1	3	240	14500	7470	0.24003	23.3	1.00256	-164.02	0.91192	-162.14	0.25063	35.2	0.54
1	3	241	14750	7470	0.24005	-0.7	0.99722	-165.41	0.90759	-163.35	0.25361	59.18	0.58
1	3	242	0	7624	0.32478	-90.34	0.89473	-168.62	0.92938	-167.3	0.34071	146.54	0.15
1	3	243	250	7624	0.32824	-112.99	0.87047	-167.74	0.95253	-167.08	0.34435	168.74	-0.07
1	3	244	500	7624	0.33197	-135.47	0.85543	-166.31	0.97422	-166.41	0.34669	-169.28	-0.28
