Frequency (GHz)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 15 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 16 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 17 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 18 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 19 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 20 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 21 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 22 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 23 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 24 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 25 dBm)
5	-0.17673	-0.227154	-0.288661	-0.367023	-0.468903	-0.604147	-0.783099	-1.01993	-1.33037	-1.73386	-2.25847
5.5	0.783864	0.824019	0.849689	0.852857	0.82358	0.750742	0.619928	0.413881	0.108109	-0.333458	-0.969598
6	2.70355	2.89166	3.05529	3.18466	3.2688	3.29208	3.2255	3.03344	2.66561	1.92586	0.827095
6.5	6.96684	7.46664	7.92364	8.32338	8.65243	8.86948	8.92024	8.68676	7.9867	6.90986	5.45181
7	7.98434	8.55312	9.06829	9.51399	9.86354	10.0706	10.0695	9.62984	8.71441	7.37352	5.5624
7.5	-0.0465817	-0.168194	-0.334673	-0.558958	-0.860577	-1.26501	-1.81761	-2.66004	-3.8024	-5.30515	-7.27077
8	1.71837	1.71481	1.64945	1.50846	1.26912	0.900494	0.310325	-0.616156	-1.8765	-3.51334	-5.61155
8.5	11.7942	12.7216	13.5237	14.0803	14.3355	14.2068	13.6445	12.5081	10.8666	8.71524	5.90066
9	24.6906	27.4342	29.7807	31.1204	31.7314	31.6338	31.0084	29.7958	27.7379	25.0726	21.8264
9.5	28.9175	32.3152	36.0338	39.3509	40.9084	40.9978	40.1477	38.5275	36.3047	33.8325	30.5069
10	25.9981	29.056	32.3865	36.0089	39.4512	41.3076	41.2281	39.9816	37.87	35.0805	32.1794
10.5	22.9322	25.6283	28.5042	31.6533	34.9922	38.0377	39.5909	39.2861	37.7542	35.3542	32.384
11	20.9787	23.4962	26.2279	29.1467	32.2822	35.4174	37.923	38.6668	37.7677	35.6473	32.6023
11.5	19.4859	21.8725	24.4554	27.2307	30.2503	33.3915	36.1351	37.2933	36.624	34.6909	31.7334
12	17.5379	19.7484	22.1517	24.7236	27.4778	30.4649	33.2805	34.7301	34.1941	32.1871	29.1206
12.5	14.394	16.2433	18.2572	20.428	22.7242	25.2177	27.7856	29.6017	29.6008	27.8758	24.8971
13	10.0701	11.3688	12.7516	14.2502	15.8415	17.5486	19.3781	21.0132	21.5666	20.5105	18.0711
13.5	5.56912	6.20889	6.99102	7.72613	8.53614	9.40499	10.301	11.1346	11.6794	11.4085	9.84714
14	1.89455	2.10607	2.3141	2.52326	2.72581	2.91544	3.04836	3.07546	2.92394	2.474	1.45011
14.5	-0.377071	-0.450012	-0.55024	-0.68131	-0.857095	-1.09279	-1.42286	-1.89025	-2.54786	-3.45944	-4.7321
15	-1.63019	-1.85292	-2.12914	-2.44613	-2.826	-3.28965	-3.86564	-4.5915	-5.51093	-6.68049	-8.18584
