Frequency (GHz)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 15 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 16 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 17 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 18 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 19 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 20 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 21 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 22 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 23 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 24 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 25 dBm)
5	0.178051	0.131218	0.068088	-0.0134561	-0.120657	-0.263229	-0.450829	-0.695502	-1.0128	-1.42347	-1.95816
5.5	1.14354	1.17166	1.18029	1.16447	1.11587	1.02314	0.874657	0.649892	0.321654	-0.141605	-0.860687
6	3.15378	3.30458	3.42973	3.51963	3.5628	3.54628	3.44075	3.20956	2.75455	1.9567	0.845954
6.5	7.60141	8.05557	8.4598	8.78861	9.02967	9.15502	9.11799	8.71365	7.96707	6.90742	5.43235
7	8.54988	9.07585	9.57033	9.97508	10.2378	10.3425	10.221	9.63144	8.68714	7.37217	5.55517
7.5	0.0805762	-0.044114	-0.216752	-0.449494	-0.760312	-1.17222	-1.76677	-2.62774	-3.77245	-5.26401	-7.21719
8	1.8661	1.8473	1.78113	1.6362	1.37231	0.971551	0.313445	-0.625628	-1.87572	-3.5093	-5.607
8.5	12.1441	13.0485	13.7298	14.0858	14.2063	14.0998	13.5829	12.3115	10.6615	8.59285	5.77537
9	25.2391	27.8269	29.7923	30.7879	31.2396	31.3685	30.6956	29.3191	27.4758	24.7862	21.5398
9.5	30.0812	33.6188	37.1572	39.7082	40.5996	40.4187	39.5938	38.1044	35.8112	33.4181	30.2968
10	27.4552	30.749	34.2369	37.7268	40.4739	41.3827	40.8572	39.471	37.485	34.8239	31.9251
10.5	24.3593	27.2808	30.3458	33.5371	36.7067	39.2188	39.9703	39.1787	37.4115	34.8973	32.2307
11	22.3374	25.072	27.9317	30.8992	33.9383	36.8871	38.7455	38.9104	37.7626	35.589	32.5601
11.5	20.7514	23.3802	26.1489	29.1092	32.1597	35.1027	37.259	37.6388	36.5649	34.4249	31.4913
12	18.7592	21.1541	23.7929	26.5914	29.5528	32.4902	34.8214	35.447	34.3613	32.1114	28.9618
12.5	15.5664	17.4965	19.7172	22.1071	24.6609	27.2685	29.5598	30.6325	29.9929	27.9811	24.9679
13	11.1884	12.5268	14.0764	15.7515	17.5318	19.3623	21.1357	22.4587	22.4517	20.9365	18.3145
13.5	6.53056	7.29533	8.1301	9.0096	9.91741	10.8443	11.7454	12.5457	12.9148	12.2572	10.3961
14	2.79219	3.05858	3.3613	3.59855	3.84017	4.03201	4.17062	4.2012	4.03583	3.51439	2.30707
14.5	0.396285	0.351475	0.298871	0.170093	0.00802594	-0.223619	-0.550042	-1.01304	-1.66521	-2.57348	-3.86381
15	-0.941496	-1.15514	-1.41008	-1.71819	-2.09077	-2.55002	-3.12187	-3.84197	-4.75374	-5.91301	-7.40911
