Frequency (GHz)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 15 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 16 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 17 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 18 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 19 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 20 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 21 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 22 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 23 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 24 dBm)	PAE(PORT_1,PORT_2) : FINAL Circuit.AP_HB (Pwr = 25 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 15 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 16 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 17 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 18 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 19 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 20 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 21 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 22 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 23 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 24 dBm)	DB(|S(1,2)|) : FINAL Circuit.AP (Pwr = 25 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 15 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 16 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 17 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 18 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 19 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 20 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 21 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 22 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 23 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 24 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 25 dBm)
5	-0.17673	-0.227154	-0.288661	-0.367023	-0.468903	-0.604147	-0.783099	-1.01993	-1.33037	-1.73386	-2.25847	-42.1536	-42.1536	-42.1536	-42.1536	-42.1536	-42.1536	-42.1536	-42.1536	-42.1536	-42.1536	-42.1536	9.06245	9.93004	10.7937	11.6406	12.461	13.2426	13.9828	14.6739	15.3154	15.9054	16.4393
5.5	0.783864	0.824019	0.849689	0.852857	0.82358	0.750742	0.619928	0.413881	0.108109	-0.333458	-0.969598	-36.8026	-36.8026	-36.8026	-36.8026	-36.8026	-36.8026	-36.8026	-36.8026	-36.8026	-36.8026	-36.8026	13.4871	14.3141	15.1079	15.8616	16.5693	17.2283	17.8369	18.3926	18.8893	19.3148	19.6441
6	2.70355	2.89166	3.05529	3.18466	3.2688	3.29208	3.2255	3.03344	2.66561	1.92586	0.827095	-31.5969	-31.5969	-31.5969	-31.5969	-31.5969	-31.5969	-31.5969	-31.5969	-31.5969	-31.5969	-31.5969	17.6498	18.4052	19.1123	19.7694	20.3769	20.9341	21.4314	21.8583	22.199	22.3216	22.3592
6.5	6.96684	7.46664	7.92364	8.32338	8.65243	8.86948	8.92024	8.68676	7.9867	6.90986	5.45181	-27.5188	-27.5188	-27.5188	-27.5188	-27.5188	-27.5188	-27.5188	-27.5188	-27.5188	-27.5188	-27.5188	21.5928	22.2964	22.9456	23.5415	24.0843	24.5633	24.9679	25.2377	25.2994	25.3151	25.3047
7	7.98434	8.55312	9.06829	9.51399	9.86354	10.0706	10.0695	9.62984	8.71441	7.37352	5.5624	-27.7893	-27.7893	-27.7893	-27.7893	-27.7893	-27.7893	-27.7893	-27.7893	-27.7893	-27.7893	-27.7893	22.3181	23.0253	23.6772	24.2752	24.8151	25.2854	25.6725	25.8489	25.8683	25.8452	25.7803
7.5	-0.0465817	-0.168194	-0.334673	-0.558958	-0.860577	-1.26501	-1.81761	-2.66004	-3.8024	-5.30515	-7.27077	-36.0939	-36.0939	-36.0939	-36.0939	-36.0939	-36.0939	-36.0939	-36.0939	-36.0939	-36.0939	-36.0939	13.7798	14.4018	14.9758	15.4978	15.9571	16.3418	16.6206	16.6808	16.6715	16.6251	16.5452
8	1.71837	1.71481	1.64945	1.50846	1.26912	0.900494	0.310325	-0.616156	-1.8765	-3.51334	-5.61155	-30.3746	-30.3746	-30.3746	-30.3746	-30.3746	-30.3746	-30.3746	-30.3746	-30.3746	-30.3746	-30.3746	17.8055	18.4282	18.9903	19.4902	19.9202	20.2716	20.4698	20.5035	20.4932	20.458	20.4125
8.5	11.7942	12.7216	13.5237	14.0803	14.3355	14.2068	13.6445	12.5081	10.8666	8.71524	5.90066	-26.0849	-26.0849	-26.0849	-26.0849	-26.0849	-26.0849	-26.0849	-26.0849	-26.0849	-26.0849	-26.0849	23.6909	24.456	25.1238	25.636	25.9928	26.2298	26.3678	26.3819	26.344	26.2971	26.2319
9	24.6906	27.4342	29.7807	31.1204	31.7314	31.6338	31.0084	29.7958	27.7379	25.0726	21.8264	-25.0987	-25.0987	-25.0987	-25.0987	-25.0987	-25.0987	-25.0987	-25.0987	-25.0987	-25.0987	-25.0987	25.4716	26.419	27.2111	27.7324	28.0768	28.3089	28.4736	28.5892	28.603	28.5596	28.5256
9.5	28.9175	32.3152	36.0338	39.3509	40.9084	40.9978	40.1477	38.5275	36.3047	33.8325	30.5069	-24.9905	-24.9905	-24.9905	-24.9905	-24.9905	-24.9905	-24.9905	-24.9905	-24.9905	-24.9905	-24.9905	25.2784	26.2755	27.2491	28.0988	28.6726	29.0445	29.3033	29.4841	29.6028	29.6219	29.5762
