Frequency (GHz)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 15 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 16 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 17 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 18 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 19 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 20 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 21 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 22 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 23 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 24 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 25 dBm)
5	9.06245	9.93004	10.7937	11.6406	12.461	13.2426	13.9828	14.6739	15.3154	15.9054	16.4393
5.5	13.4871	14.3141	15.1079	15.8616	16.5693	17.2283	17.8369	18.3926	18.8893	19.3148	19.6441
6	17.6498	18.4052	19.1123	19.7694	20.3769	20.9341	21.4314	21.8583	22.199	22.3216	22.3592
6.5	21.5928	22.2964	22.9456	23.5415	24.0843	24.5633	24.9679	25.2377	25.2994	25.3151	25.3047
7	22.3181	23.0253	23.6772	24.2752	24.8151	25.2854	25.6725	25.8489	25.8683	25.8452	25.7803
7.5	13.7798	14.4018	14.9758	15.4978	15.9571	16.3418	16.6206	16.6808	16.6715	16.6251	16.5452
8	17.8055	18.4282	18.9903	19.4902	19.9202	20.2716	20.4698	20.5035	20.4932	20.458	20.4125
8.5	23.6909	24.456	25.1238	25.636	25.9928	26.2298	26.3678	26.3819	26.344	26.2971	26.2319
9	25.4716	26.419	27.2111	27.7324	28.0768	28.3089	28.4736	28.5892	28.603	28.5596	28.5256
9.5	25.2784	26.2755	27.2491	28.0988	28.6726	29.0445	29.3033	29.4841	29.6028	29.6219	29.5762
10	24.6778	25.6666	26.6422	27.5953	28.4676	29.1077	29.5071	29.7729	29.9518	30.0515	30.0136
10.5	24.1243	25.108	26.0756	27.0263	27.9457	28.7804	29.3994	29.785	30.0289	30.1828	30.1976
11	23.6016	24.5896	25.5653	26.5231	27.4572	28.3437	29.1083	29.6421	29.9831	30.1942	30.2852
11.5	23.0115	24.0041	24.9874	25.9574	26.9107	27.8304	28.6558	29.2631	29.6553	29.9139	30.0745
12	22.2949	23.2932	24.2855	25.267	26.2343	27.1818	28.0607	28.7377	29.1729	29.4511	29.6302
12.5	21.3602	22.3631	23.3568	24.3482	25.3213	26.2835	27.2071	27.9813	28.5026	28.8273	29.0366
13	20.1126	21.122	22.1014	23.0866	24.0612	25.023	25.9634	26.8276	27.4828	27.8983	28.1596
13.5	18.4931	19.4512	20.4616	21.4093	22.3711	23.3217	24.2516	25.1416	25.9427	26.5531	26.9424
14	16.3658	17.3468	18.314	19.2721	20.2181	21.1495	22.0532	22.9177	23.7299	24.4671	25.0718
14.5	13.9186	14.8929	15.8505	16.7944	17.7202	18.6267	19.4999	20.3294	21.1067	21.8257	22.4689
15	11.1767	12.153	13.0916	14.0191	14.924	15.8062	16.6508	17.4489	18.1943	18.8829	19.5012
