Frequency (GHz)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 15 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 16 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 17 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 18 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 19 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 20 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 21 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 22 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 23 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 24 dBm)	DB(|Pcomp(PORT_2,1)|) (dBm) : FINAL Circuit.AP_HB (Pwr = 25 dBm)
5	10.9979	11.6609	12.3186	12.9754	13.621	14.243	14.8379	15.4028	15.933	16.4236	16.8631
5.5	14.9172	15.5627	16.1861	16.7849	17.3557	17.8942	18.3982	18.8587	19.2654	19.6117	19.811
6	18.7372	19.3364	19.9051	20.4408	20.9412	21.4024	21.8127	22.1613	22.3758	22.4318	22.456
6.5	22.4328	23.017	23.5614	24.0616	24.5133	24.9088	25.2346	25.3668	25.3946	25.4	25.3729
7	23.0266	23.6365	24.2092	24.7315	25.1914	25.5856	25.8842	25.9541	25.9525	25.915	25.8372
7.5	14.3824	14.9245	15.4192	15.8635	16.2505	16.5743	16.7408	16.764	16.7427	16.6844	16.595
8	18.3023	18.8492	19.3613	19.8007	20.1648	20.4483	20.5415	20.553	20.5382	20.4899	20.4342
8.5	24.1621	24.8571	25.4129	25.8039	26.0874	26.295	26.4142	26.3896	26.3493	26.3092	26.2383
9	25.9529	26.813	27.4606	27.8764	28.1689	28.3939	28.5389	28.6321	28.6302	28.5846	28.546
9.5	25.8792	26.8217	27.7125	28.4124	28.8678	29.1789	29.4087	29.5705	29.6644	29.6522	29.6131
10	25.37	26.3026	27.2208	28.0994	28.8448	29.3422	29.6642	29.8874	30.043	30.1041	30.0526
10.5	24.8543	25.7778	26.6876	27.5768	28.4233	29.1457	29.6347	29.9418	30.1412	30.2629	30.2447
11	24.355	25.2932	26.1927	27.0878	27.9552	28.7661	29.4129	29.8463	30.1274	30.303	30.3477
11.5	23.7903	24.738	25.6397	26.5525	27.4438	28.2885	29.0001	29.4891	29.8122	30.0269	30.1494
12	23.112	24.0396	24.9708	25.8942	26.8066	27.6852	28.4557	28.9967	29.3439	29.5713	29.7194
12.5	22.2276	23.1372	24.0708	24.9981	25.9272	26.8262	27.6542	28.2863	28.6978	28.959	29.1339
13	21.0288	21.9311	22.8377	23.7638	24.6898	25.5896	26.4569	27.2075	27.7264	28.055	28.2711
13.5	19.378	20.2861	21.1996	22.1105	23.0137	23.9038	24.7704	25.5906	26.2871	26.7742	27.0811
14	17.3156	18.2129	19.1383	20.0035	20.8841	21.7445	22.5847	23.3911	24.1442	24.8068	25.3131
14.5	14.8835	15.7717	16.6749	17.5247	18.379	19.213	20.0212	20.793	21.5189	22.1916	22.7871
15	12.1614	13.038	13.9075	14.7602	15.5957	16.4031	17.1806	17.9197	18.6114	19.2511	19.8235
