Frequency (GHz)	DB(PGain(PORT_1,PORT_2))[X,3] : FINAL Circuit.AP_HB (Pwr = 20 dBm)	DB(|Pcomp(PORT_2,1)|)[X,3] (dBm) : FINAL Circuit.AP_HB (Pwr = 20 dBm)	PAE(PORT_1,PORT_2)[X,3] : FINAL Circuit.AP_HB (Pwr = 20 dBm)
0	-400	-370	-4.08101e-11
0.1	-57.1199	-37.1199	-1.94653
0.2	-45.0735	-25.0735	-2.12862
0.3	-33.9732	-13.9732	-2.06612
0.4	-25.9811	-5.98107	-1.84673
0.5	-19.8515	0.148519	-1.47661
0.6	-17.9513	2.04866	-1.71328
0.7	-16.03	3.96997	-1.81762
0.8	-14.0856	5.91442	-1.75137
0.9	-12.0166	7.98344	-1.52731
1	-9.80086	10.1991	-1.09806
1.1	-8.8603	11.1397	-1.06657
1.2	-7.91775	12.0822	-0.904646
1.3	-6.89156	13.1084	-0.583062
1.4	-5.70764	14.2924	-0.0431007
1.5	-4.28453	15.7155	0.833915
1.6	-3.35861	16.6414	1.3349
1.7	-2.38728	17.6127	2.14554
1.8	-1.37233	18.6277	3.3823
1.9	-0.406319	19.5937	5.06603
2	0.290416	20.2904	6.83562
2.1	-0.230273	19.7697	6.03255
2.2	-1.51413	18.4859	4.15239
2.3	-3.29565	16.7044	2.15954
2.4	-5.29596	14.704	0.637578
2.5	-7.36341	12.6366	-0.354457
2.6	-9.51026	10.4897	-1.36463
2.7	-11.6758	8.32416	-2.09672
2.8	-13.879	6.12098	-2.61778
2.9	-16.2402	3.75976	-2.93705
3	-18.9109	1.08911	-3.00475
3.1	-20.5275	-0.527546	-3.33419
3.2	-21.5685	-1.56855	-3.49046
3.3	-22.0536	-2.05356	-3.4744
3.4	-22.2894	-2.28943	-3.28386
3.5	-22.5216	-2.52165	-2.94708
3.6	-22.3911	-2.39111	-2.94534
3.7	-22.4897	-2.48965	-2.85702
3.8	-22.8129	-2.81289	-2.71151
3.9	-23.3744	-3.37442	-2.52125
4	-24.2063	-4.20632	-2.29257
4.1	-25.2441	-5.24413	-2.24366
4.2	-26.7244	-6.72435	-2.15734
4.3	-28.8866	-8.88659	-2.03512
4.4	-32.1141	-12.1141	-1.88069
4.5	-36.2249	-16.2249	-1.69688
4.6	-32.7673	-12.7673	-1.71407
4.7	-28.4484	-8.44838	-1.69833
4.8	-25.0799	-5.07993	-1.65132
4.9	-22.4105	-2.41054	-1.57524
5	-20.1997	-0.199706	-1.47169
5.1	-18.4763	1.52368	-1.54507
5.2	-16.9161	3.08394	-1.58755
5.3	-15.4724	4.52759	-1.60165
5.4	-14.1086	5.89139	-1.58967
5.5	-12.8201	7.17992	-1.55464
5.6	-11.7484	8.25164	-1.64411
5.7	-10.6569	9.34306	-1.70745
5.8	-9.5456	10.4544	-1.73102
5.9	-8.43764	11.5624	-1.70063
6	-7.37644	12.6236	-1.59341
6.1	-6.53261	13.4674	-1.51362
6.2	-5.69084	14.3092	-1.37354
6.3	-4.85662	15.1434	-1.17754
6.4	-4.04233	15.9577	-0.925462
6.5	-3.25776	16.7422	-0.614349
6.6	-2.61511	17.3849	-0.365403
6.7	-1.96721	18.0328	-0.0497112
6.8	-1.33473	18.6653	0.33259
6.9	-0.75389	19.2461	0.764307
7	-0.189706	19.8103	1.2676
7.1	0.296833	20.2968	1.69158
7.2	0.788012	20.788	2.20034
7.3	1.25312	21.2531	2.73032
7.4	1.70191	21.7019	3.26226
7.5	2.17538	22.1754	3.83456
7.6	2.66863	22.6686	4.31684
7.7	3.42249	23.4225	5.49699
7.8	4.49706	24.4971	7.98509
7.9	5.39797	25.398	10.9243
8	5.92574	25.9257	13.1449
8.1	6.21763	26.2176	14.9566
8.2	6.47171	26.4717	17.0412
8.3	6.69808	26.6981	19.3966
8.4	6.9102	26.9102	22.0531
8.5	7.17398	27.174	25.1605
8.6	7.49707	27.4971	28.7027
8.7	7.85794	27.8579	32.4991
8.8	8.22785	28.2279	36.1877
8.9	8.58625	28.5862	39.5731
9	8.91693	28.9169	42.3316
9.1	9.20898	29.209	43.9491
9.2	9.43963	29.4396	44.598
9.3	9.59633	29.5963	44.6456
9.4	9.67227	29.6723	44.2963
9.5	9.65295	29.6529	43.6482
9.6	9.55534	29.5553	42.8224
9.7	9.44206	29.4421	41.9963
9.8	9.34091	29.3409	41.2305
9.9	9.25678	29.2568	40.5255
10	9.1881	29.1881	39.9003
10.1	9.13279	29.1328	39.3605
10.2	9.08683	29.0868	38.8906
10.3	9.04581	29.0458	38.4697
10.4	9.03128	29.0313	38.1009
10.5	8.96824	28.9682	37.7616
10.6	8.92151	28.9215	37.46
10.7	8.84651	28.8465	37.1125
10.8	8.76822	28.7682	36.771
10.9	8.68619	28.6862	36.4367
11	8.60068	28.6007	36.1114
11.1	8.51256	28.5126	35.8005
11.2	8.42197	28.422	35.5002
11.3	8.32709	28.3271	35.1953
11.4	8.2275	28.2275	34.8772
11.5	8.12283	28.1228	34.543
11.6	8.01346	28.0135	34.1943
11.7	7.89967	27.8997	33.83
11.8	7.78136	27.7814	33.4418
11.9	7.65627	27.6563	33.0092
12	7.52341	27.5234	32.5017
12.1	7.27102	27.271	30.9297
12.2	7.05777	27.0578	29.7009
12.3	6.88811	26.8881	28.8236
12.4	6.7653	26.7653	28.3016
12.5	6.69088	26.6909	28.1341
12.6	6.37473	26.3747	25.9459
12.7	6.09283	26.0928	24.0843
12.8	5.85022	25.8502	22.5494
12.9	5.65248	25.6525	21.3398
13	5.50161	25.5016	20.4461
13.1	5.11344	25.1134	18.0324
13.2	4.75881	24.7588	15.9921
13.3	4.44244	24.4424	14.2969
13.4	4.1692	24.1692	12.9174
13.5	3.94215	23.9422	11.8241
13.6	3.47705	23.4771	9.87047
13.7	3.02133	23.0213	8.19788
13.8	2.59991	22.5999	6.80899
13.9	2.21759	22.2176	5.67056
14	1.87924	21.8792	4.75288
14.1	1.36839	21.3684	3.51286
14.2	0.879069	20.8791	2.47346
14.3	0.41455	20.4145	1.60688
14.4	-0.0215022	19.9785	0.889847
14.5	-0.424802	19.5752	0.302948
14.6	-0.9763	19.0237	-0.41262
14.7	-1.51815	18.4818	-1.01797
14.8	-2.04927	17.9507	-1.52757
14.9	-2.56845	17.4316	-1.95262
15	-3.07168	16.9283	-2.30094
15.1	-3.69122	16.3088	-2.68401
15.2	-4.30616	15.6938	-3.00524
15.3	-4.9109	15.0891	-3.2711
15.4	-5.49996	14.5	-3.48934
15.5	-6.06716	13.9328	-3.66657
15.6	-6.7001	13.2999	-3.85954
15.7	-7.33088	12.6691	-4.02584
15.8	-7.95725	12.0427	-4.16989
15.9	-8.5736	11.4264	-4.2937
16	-9.17609	10.8239	-4.40082
16.1	-9.8272	10.1728	-4.5114
16.2	-10.482	9.51798	-4.60448
16.3	-11.1368	8.86319	-4.67429
16.4	-11.7871	8.21292	-4.71902
16.5	-12.4272	7.57283	-4.74291
16.6	-13.0958	6.90419	-4.74995
16.7	-13.7702	6.22981	-4.74506
16.8	-14.4512	5.54876	-4.73284
16.9	-15.1346	4.86544	-4.71281
17	-15.8181	4.18194	-4.68672
17.1	-16.5318	3.46818	-4.65865
17.2	-17.2753	2.72472	-4.63682
17.3	-18.0405	1.95951	-4.61435
17.4	-18.8206	1.17938	-4.58593
17.5	-19.6251	0.374895	-4.55938
17.6	-20.4587	-0.458653	-4.54195
17.7	-21.3373	-1.33732	-4.52713
17.8	-22.2581	-2.25807	-4.50808
17.9	-23.2282	-3.2282	-4.48506
18	-24.2666	-4.2666	-4.46622
18.1	-25.3449	-5.34495	-4.45912
18.2	-26.5272	-6.52715	-4.45616
18.3	-27.8299	-7.82994	-4.44997
18.4	-29.2969	-9.29693	-4.44462
18.5	-30.9835	-10.9835	-4.4377
18.6	-32.6568	-12.6568	-4.43694
18.7	-34.5067	-14.5067	-4.43456
18.8	-36.4642	-16.4642	-4.43233
18.9	-38.2157	-18.2157	-4.42814
19	-39.0667	-19.0667	-4.42515
19.1	-36.8597	-16.8597	-4.41057
19.2	-34.7834	-14.7834	-4.3959
19.3	-33.0201	-13.0201	-4.38077
19.4	-31.5333	-11.5333	-4.36527
19.5	-30.2651	-10.2651	-4.34767
19.6	-28.8592	-8.85919	-4.3118
19.7	-27.6626	-7.66265	-4.27256
19.8	-26.625	-6.625	-4.22991
19.9	-25.7139	-5.71389	-4.18572
20	-24.9003	-4.90028	-4.13712
