Frequency (GHz)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 10 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 11 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 12 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 13 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 14 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 15 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 16 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 17 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 18 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 19 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 20 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 21 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 22 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 23 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 24 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 25 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 10 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 11 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 12 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 13 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 14 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 15 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 16 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 17 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 18 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 19 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 20 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 21 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 22 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 23 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 24 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 25 dBm)
5	114.812	114.694	114.608	114.53	114.518	114.509	114.505	114.517	114.59	114.663	114.826	115.046	115.32	115.652	116.081	116.586	156.316	156.222	156.161	156.109	156.125	156.145	156.173	156.218	156.329	156.443	156.654	156.932	157.272	157.683	158.206	158.823
5.1	108.96	108.916	108.857	108.802	108.839	108.891	108.952	109.036	109.184	109.369	109.568	109.805	110.088	110.413	110.805	111.296	151.237	151.216	151.18	151.15	151.213	151.294	151.385	151.502	151.687	151.915	152.162	152.454	152.803	153.205	153.687	154.288
5.2	103.297	103.298	103.281	103.26	103.309	103.366	103.465	103.624	103.85	104.14	104.463	104.767	105.065	105.398	105.81	106.318	146.326	146.348	146.351	146.353	146.427	146.511	146.639	146.829	147.093	147.426	147.799	148.159	148.522	148.931	149.433	150.052
5.3	97.7332	97.8119	97.862	97.8646	97.9066	98.0139	98.1687	98.3854	98.6629	98.9942	99.4088	99.839	100.239	100.616	101.032	101.542	141.487	141.586	141.656	141.68	141.744	141.877	142.06	142.308	142.622	142.997	143.462	143.95	144.416	144.868	145.375	145.995
5.4	92.2699	92.4345	92.5458	92.6267	92.7124	92.8746	93.0735	93.308	93.6059	93.9631	94.3872	94.8746	95.3841	95.9102	96.4103	96.8962	136.725	136.909	137.039	137.141	137.248	137.435	137.661	137.926	138.259	138.658	139.132	139.676	140.252	140.857	141.448	142.044
5.5	86.8698	87.0809	87.299	87.4888	87.6514	87.8451	88.046	88.3087	88.6336	89.0001	89.4166	89.9313	90.4823	91.0754	91.6928	92.276	132.004	132.233	132.47	132.681	132.865	133.082	133.308	133.6	133.959	134.366	134.829	135.4	136.017	136.688	137.398	138.093
5.6	80.0716	80.3093	80.5984	80.8659	81.1262	81.3927	81.7024	81.9901	82.3169	82.6861	83.0954	83.5495	84.0801	84.6758	85.3212	86.024	125.974	126.228	126.535	126.822	127.103	127.391	127.726	128.041	128.4	128.807	129.26	129.765	130.356	131.026	131.76	132.573
5.7	73.3683	73.5976	73.8775	74.1829	74.5098	74.8814	75.2822	75.7314	76.1631	76.5516	76.9443	77.3819	77.9031	78.5075	79.2187	79.9555	120.019	120.262	120.558	120.881	121.227	121.62	122.045	122.523	122.986	123.41	123.843	124.329	124.907	125.582	126.379	127.222
5.8	66.6874	66.9766	67.2694	67.6198	67.993	68.3944	68.8307	69.3215	69.8906	70.4601	70.9825	71.4486	71.9407	72.5193	73.2267	73.8349	114.066	114.368	114.676	115.042	115.433	115.854	116.313	116.831	117.431	118.036	118.599	119.11	119.656	120.301	121.089	121.792
5.9	59.9049	60.3485	60.7343	61.1021	61.4726	61.8792	62.3452	62.841	63.3793	64.0191	64.6707	65.3377	65.9702	66.5238	67.1566	67.533	107.992	108.449	108.848	109.231	109.617	110.041	110.528	111.048	111.615	112.288	112.979	113.691	114.377	114.991	115.697	116.154
6	52.8046	53.3385	53.8469	54.3152	54.7903	55.2264	55.6967	56.2044	56.7487	57.341	58.0084	58.6968	59.4235	60.2615	60.9348	61.15	101.582	102.128	102.649	103.131	103.621	104.073	104.562	105.092	105.662	106.284	106.987	107.717	108.493	109.392	110.131	110.414
6.1	44.2912	44.8791	45.4581	46.0396	46.6342	47.2514	47.8365	48.3588	48.8654	49.402	49.9972	50.6742	51.419	52.3847	53.3031	53.8627	93.8999	94.4985	95.0889	95.6828	96.2911	96.924	97.5264	98.0674	98.5952	99.1564	99.781	100.494	101.282	102.301	103.28	103.905
6.2	35.7135	36.2973	36.9127	37.4921	38.1052	38.7603	39.4493	40.1925	40.8958	41.4937	42.0541	42.676	43.3872	44.4477	45.2935	45.8041	86.1387	86.731	87.3559	87.9453	88.5697	89.2383	89.9428	90.7042	91.4275	92.0469	92.6313	93.2825	94.0296	95.1351	96.0293	96.5918
