Frequency (GHz)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 10 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 11 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 12 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 13 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 14 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 15 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 16 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 17 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 18 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 19 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 20 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 21 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 22 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 23 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 24 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 25 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 10 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 11 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 12 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 13 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 14 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 15 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 16 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 17 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 18 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 19 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 20 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 21 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 22 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 23 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 24 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 25 dBm)
5	-172.644	-172.76	-172.844	-172.92	-172.93	-172.937	-172.939	-172.925	-172.849	-172.774	-172.61	-172.388	-172.113	-171.78	-171.35	-170.844	-125.946	-126.039	-126.098	-126.148	-126.131	-126.108	-126.078	-126.031	-125.918	-125.802	-125.59	-125.311	-124.97	-124.558	-124.035	-123.418
5.1	-178.357	-178.399	-178.456	-178.508	-178.469	-178.414	-178.35	-178.264	-178.113	-177.925	-177.723	-177.485	-177.2	-176.873	-176.481	-175.99	-131.022	-131.041	-131.076	-131.104	-131.038	-130.955	-130.86	-130.741	-130.553	-130.323	-130.074	-129.78	-129.43	-129.027	-128.544	-127.943
5.2	176.114	176.117	176.102	176.084	176.136	176.197	176.299	176.461	176.691	176.984	177.31	177.617	177.917	178.252	178.664	179.172	-135.931	-135.907	-135.901	-135.897	-135.82	-135.734	-135.602	-135.409	-135.142	-134.806	-134.43	-134.067	-133.703	-133.293	-132.79	-132.171
5.3	170.68	170.762	170.815	170.82	170.865	170.976	171.135	171.355	171.637	171.971	172.39	172.824	173.227	173.605	174.022	174.531	-140.768	-140.666	-140.593	-140.567	-140.499	-140.363	-140.177	-139.925	-139.607	-139.229	-138.761	-138.269	-137.801	-137.347	-136.84	-136.221
5.4	165.343	165.511	165.625	165.71	165.799	165.965	166.168	166.407	166.709	167.07	167.498	167.989	168.502	169.031	169.531	170.015	-145.527	-145.34	-145.207	-145.102	-144.991	-144.801	-144.571	-144.302	-143.965	-143.563	-143.086	-142.538	-141.958	-141.352	-140.76	-140.167
5.5	160.066	160.28	160.502	160.696	160.863	161.061	161.266	161.532	161.862	162.232	162.653	163.171	163.726	164.321	164.938	165.519	-150.246	-150.014	-149.773	-149.559	-149.371	-149.15	-148.92	-148.624	-148.26	-147.85	-147.383	-146.809	-146.19	-145.517	-144.806	-144.114
5.6	153.384	153.625	153.918	154.19	154.455	154.726	155.04	155.332	155.663	156.036	156.449	156.907	157.44	158.037	158.682	159.382	-156.274	-156.017	-155.705	-155.415	-155.13	-154.837	-154.498	-154.178	-153.816	-153.405	-152.949	-152.441	-151.847	-151.177	-150.443	-149.632
5.7	146.793	147.026	147.31	147.62	147.952	148.328	148.734	149.188	149.625	150.017	150.413	150.854	151.377	151.981	152.691	153.425	-162.227	-161.979	-161.68	-161.353	-161.002	-160.604	-160.175	-159.693	-159.225	-158.798	-158.362	-157.874	-157.294	-156.619	-155.823	-154.984
5.8	140.222	140.516	140.813	141.168	141.546	141.952	142.393	142.889	143.463	144.038	144.564	145.032	145.525	146.103	146.808	147.412	-168.177	-167.871	-167.56	-167.189	-166.793	-166.367	-165.904	-165.382	-164.777	-164.167	-163.602	-163.088	-162.542	-161.899	-161.113	-160.414
5.9	133.547	133.995	134.386	134.758	135.134	135.545	136.016	136.517	137.06	137.704	138.36	139.03	139.663	140.215	140.844	141.215	-174.248	-173.787	-173.383	-172.997	-172.606	-172.177	-171.686	-171.162	-170.591	-169.913	-169.219	-168.504	-167.818	-167.206	-166.505	-166.052
6	126.552	127.091	127.604	128.077	128.557	128.998	129.473	129.986	130.534	131.13	131.802	132.492	133.22	134.056	134.726	134.935	179.345	179.895	-179.579	-179.093	-178.598	-178.141	-177.648	-177.115	-176.541	-175.916	-175.21	-174.477	-173.701	-172.804	-172.069	-171.791
6.1	118.141	118.734	119.317	119.904	120.504	121.126	121.716	122.243	122.753	123.293	123.891	124.57	125.314	126.278	127.194	127.75	171.668	172.271	172.866	173.465	174.078	174.715	175.322	175.866	176.397	176.961	177.588	178.302	179.089	-179.894	-178.917	-178.296
6.2	109.665	110.253	110.873	111.458	112.076	112.736	113.43	114.178	114.886	115.487	116.049	116.671	117.381	118.44	119.283	119.79	163.913	164.51	165.139	165.733	166.362	167.035	167.744	168.51	169.237	169.858	170.444	171.095	171.841	172.944	173.835	174.394
