Frequency (GHz)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 10 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 11 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 12 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 13 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 14 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 15 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 16 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 17 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 18 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 19 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 20 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 21 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 22 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 23 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 24 dBm)	Ang(Vcomp(M_PROBE.VP1,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 25 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 10 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 11 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 12 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 13 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 14 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 15 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 16 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 17 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 18 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 19 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 20 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 21 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 22 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 23 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 24 dBm)	Ang(Vcomp(M_PROBE.VP2,1)) (Deg) : FINAL Circuit 1.AP_HB (Pwr = 25 dBm)
5	155.049	154.935	154.85	154.775	154.763	154.756	154.755	154.768	154.844	154.919	155.084	155.306	155.58	155.914	156.344	156.849	-167.464	-167.554	-167.614	-167.664	-167.648	-167.625	-167.595	-167.547	-167.435	-167.319	-167.106	-166.827	-166.485	-166.073	-165.55	-164.932
5.1	149.221	149.178	149.126	149.07	149.108	149.163	149.227	149.313	149.464	149.652	149.854	150.092	150.377	150.704	151.096	151.587	-172.583	-172.604	-172.633	-172.664	-172.6	-172.516	-172.422	-172.302	-172.115	-171.885	-171.635	-171.341	-170.99	-170.587	-170.104	-169.503
5.2	143.577	143.587	143.565	143.546	143.598	143.659	143.762	143.923	144.153	144.446	144.772	145.079	145.379	145.714	146.127	146.634	-177.537	-177.507	-177.508	-177.503	-177.427	-177.34	-177.208	-177.014	-176.747	-176.411	-176.035	-175.672	-175.308	-174.898	-174.394	-173.775
5.3	138.034	138.112	138.164	138.169	138.214	138.325	138.484	138.704	138.986	139.321	139.739	140.173	140.576	140.954	141.371	141.879	177.587	177.684	177.757	177.783	177.851	177.987	178.173	178.426	178.744	179.122	179.59	-179.918	-179.45	-178.996	-178.489	-177.869
5.4	132.58	132.76	132.862	132.946	133.036	133.202	133.405	133.643	133.945	134.306	134.735	135.226	135.738	136.267	136.767	137.25	172.779	172.977	173.099	173.204	173.315	173.505	173.736	174.004	174.342	174.745	175.222	175.77	176.349	176.956	177.547	178.14
5.5	127.191	127.408	127.637	127.821	127.987	128.185	128.39	128.657	128.987	129.357	129.777	130.296	130.85	131.445	132.063	132.642	168.017	168.252	168.499	168.704	168.892	169.113	169.343	169.639	170.003	170.413	170.88	171.455	172.074	172.747	173.458	174.149
5.6	120.404	120.644	120.938	121.209	121.474	121.745	122.059	122.351	122.682	123.055	123.468	123.925	124.458	125.055	125.7	126.4	161.961	162.218	162.53	162.82	163.105	163.398	163.737	164.056	164.419	164.829	165.286	165.794	166.388	167.059	167.792	168.603
5.7	113.707	113.94	114.224	114.534	114.865	115.242	115.648	116.102	116.538	116.93	117.326	117.766	118.289	118.894	119.603	120.337	155.979	156.227	156.526	156.853	157.204	157.602	158.032	158.513	158.981	159.408	159.844	160.332	160.912	161.587	162.383	163.223
5.8	107.03	107.324	107.621	107.976	108.354	108.76	109.202	109.698	110.272	110.846	111.372	111.841	112.334	112.912	113.617	114.221	149.999	150.305	150.617	150.988	151.383	151.809	152.273	152.795	153.401	154.01	154.576	155.09	155.637	156.28	157.066	157.766
5.9	100.249	100.697	101.088	101.46	101.836	102.248	102.719	103.22	103.763	104.408	105.064	105.734	106.368	106.92	107.549	107.92	143.896	144.358	144.761	145.148	145.539	145.969	146.46	146.985	147.556	148.235	148.929	149.645	150.331	150.944	151.646	152.099
6	93.1466	93.685	94.1984	94.6719	95.1525	95.5937	96.0694	96.5821	97.1312	97.7282	98.3997	99.0913	99.8191	100.657	101.327	101.536	137.456	138.007	138.533	139.02	139.515	139.972	140.466	141	141.574	142.2	142.907	143.64	144.417	145.316	146.052	146.33
6.1	84.6472	85.2398	85.8239	86.411	87.0113	87.6344	88.2249	88.752	89.2633	89.8042	90.403	91.0826	91.828	92.7936	93.7101	94.2665	129.768	130.371	130.967	131.566	132.179	132.818	133.425	133.97	134.502	135.067	135.695	136.41	137.199	138.218	139.195	139.817
6.2	76.0806	76.6699	77.2904	77.8752	78.494	79.1552	79.8502	80.5995	81.3079	81.9102	82.4736	83.0972	83.8084	84.8683	85.7114	86.2188	121.999	122.597	123.226	123.821	124.451	125.125	125.835	126.602	127.33	127.953	128.54	129.192	129.939	131.044	131.936	132.495
